,index,Participant ID,Song ID,Ornamentation,Grooviness,Familiarity,Liking,Consonance,Valence,Excitement,Vocal Range,Sound Quality,Tempo,Rhythmic Regularity,Vocal Tension,Vocal Texture
0,0,0,0,100.0,0.0,50.0,50.0,50.0,100.0,50.0,50.0,0.0,50.0,100.0,100.0,50.0
1,1,0,1,100.0,0.0,50.0,50.0,100.0,100.0,0.0,100.0,50.0,100.0,50.0,50.0,0.0
2,2,0,2,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
3,3,0,3,100.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,0.0,100.0,100.0,100.0,50.0
4,4,0,4,0.0,0.0,50.0,0.0,50.0,50.0,100.0,50.0,50.0,50.0,0.0,0.0,100.0
5,0,1,0,100.0,50.0,50.0,50.0,50.0,100.0,100.0,50.0,50.0,50.0,100.0,50.0,100.0
6,1,1,1,100.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0
7,2,1,2,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0,50.0
8,3,1,3,100.0,0.0,50.0,100.0,50.0,100.0,100.0,50.0,0.0,50.0,100.0,100.0,100.0
9,4,1,4,0.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0
10,0,2,0,100.0,50.0,100.0,50.0,100.0,100.0,0.0,100.0,50.0,50.0,100.0,50.0,100.0
11,1,2,1,100.0,100.0,100.0,50.0,100.0,100.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0
12,2,2,2,0.0,50.0,100.0,100.0,50.0,100.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0
13,3,2,3,50.0,50.0,100.0,100.0,50.0,100.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0
14,4,2,4,0.0,50.0,100.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,100.0,0.0,100.0
15,0,3,0,100.0,0.0,0.0,50.0,0.0,100.0,100.0,100.0,50.0,0.0,100.0,0.0,100.0
16,1,3,1,100.0,50.0,100.0,50.0,100.0,100.0,100.0,50.0,100.0,50.0,50.0,0.0,100.0
17,2,3,2,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0
18,3,3,3,100.0,0.0,50.0,100.0,100.0,100.0,100.0,50.0,50.0,100.0,100.0,100.0,100.0
19,4,3,4,0.0,0.0,50.0,0.0,50.0,100.0,100.0,100.0,50.0,0.0,0.0,0.0,100.0
20,0,4,0,100.0,0.0,50.0,50.0,100.0,100.0,50.0,50.0,0.0,50.0,100.0,100.0,100.0
21,1,4,1,100.0,50.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,100.0,50.0,100.0
22,2,4,2,0.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,0.0,50.0,50.0,0.0,0.0
23,3,4,3,100.0,0.0,50.0,100.0,50.0,100.0,50.0,100.0,0.0,100.0,100.0,50.0,50.0
24,4,4,4,0.0,0.0,0.0,50.0,50.0,50.0,100.0,100.0,50.0,50.0,50.0,0.0,100.0
25,0,5,0,100.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,100.0,50.0,100.0
26,1,5,1,100.0,50.0,100.0,50.0,50.0,100.0,100.0,100.0,50.0,50.0,100.0,50.0,0.0
27,2,5,2,0.0,50.0,50.0,100.0,50.0,50.0,0.0,0.0,50.0,100.0,50.0,50.0,0.0
28,3,5,3,100.0,50.0,50.0,100.0,50.0,50.0,0.0,0.0,50.0,100.0,50.0,100.0,50.0
29,4,5,4,0.0,50.0,50.0,50.0,50.0,100.0,100.0,0.0,50.0,50.0,50.0,50.0,50.0
30,0,6,0,50.0,0.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0
31,1,6,1,50.0,50.0,100.0,50.0,50.0,100.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0
32,2,6,2,0.0,50.0,100.0,50.0,50.0,50.0,100.0,50.0,0.0,50.0,50.0,50.0,50.0
33,3,6,3,50.0,50.0,100.0,50.0,50.0,100.0,50.0,0.0,0.0,100.0,50.0,50.0,50.0
34,4,6,4,0.0,0.0,50.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,100.0
35,0,7,0,50.0,50.0,100.0,50.0,100.0,100.0,100.0,50.0,0.0,0.0,100.0,50.0,100.0
36,1,7,1,50.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0,50.0,50.0,100.0,100.0,100.0
37,2,7,2,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
38,3,7,3,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
39,4,7,4,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0
40,0,8,0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0,50.0,0.0,100.0,50.0,50.0
41,1,8,1,100.0,50.0,50.0,100.0,50.0,50.0,0.0,100.0,50.0,100.0,50.0,50.0,100.0
42,2,8,2,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,0.0
43,3,8,3,50.0,0.0,50.0,100.0,50.0,100.0,50.0,50.0,50.0,100.0,100.0,100.0,100.0
44,4,8,4,0.0,0.0,0.0,50.0,0.0,50.0,100.0,0.0,50.0,0.0,50.0,0.0,0.0
45,0,9,0,100.0,0.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,0.0,100.0
46,1,9,1,100.0,50.0,100.0,0.0,100.0,100.0,0.0,50.0,100.0,100.0,0.0,0.0,0.0
47,2,9,2,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,50.0,0.0,50.0
48,3,9,3,100.0,50.0,50.0,100.0,50.0,100.0,50.0,50.0,50.0,100.0,100.0,100.0,50.0
49,4,9,4,0.0,0.0,50.0,0.0,50.0,50.0,100.0,100.0,50.0,0.0,0.0,0.0,50.0
50,0,10,0,100.0,50.0,50.0,50.0,50.0,50.0,0.0,50.0,0.0,50.0,50.0,0.0,50.0
51,1,10,1,50.0,100.0,50.0,50.0,100.0,100.0,0.0,50.0,50.0,50.0,50.0,50.0,100.0
52,2,10,2,0.0,100.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0
53,3,10,3,50.0,100.0,50.0,100.0,50.0,50.0,50.0,0.0,50.0,100.0,100.0,50.0,50.0
54,4,10,4,0.0,100.0,50.0,50.0,50.0,50.0,100.0,0.0,50.0,0.0,50.0,0.0,0.0
55,0,100,5,0.0,50.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,100.0,50.0
56,1,100,6,0.0,0.0,50.0,0.0,0.0,50.0,100.0,50.0,50.0,0.0,50.0,50.0,50.0
57,2,100,7,50.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,50.0,0.0,50.0,0.0,100.0
58,3,100,8,50.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
